"CO_ANO;""CO_MES"";""CO_NCM"";""CO_UNID"";""CO_PAIS"";""SG_UF_NCM"";""CO_VIA"";""CO_URF"";""QT_ESTAT"";""KG_LIQUIDO"";""VL_FOB"";""VL_FRETE"";""VL_SEGURO"""
"2025;""04"";""73181900"";""10"";""791"";""RS"";""01"";""0817800"";118;118;4005;38;0"
"2025;""09"";""50030010"";""10"";""160"";""MG"";""01"";""0817800"";420;420;24942;725;17"
"2025;""09"";""90279099"";""10"";""267"";""SP"";""04"";""0817700"";1;1;7;26;0"
"2025;""03"";""85381000"";""10"";""249"";""RJ"";""04"";""0717700"";14;14;3650;348;0"
"2025;""09"";""85381000"";""10"";""573"";""PR"";""04"";""0817600"";254;254;10403;1479;3"
"2025;""02"";""84831020"";""11"";""160"";""SP"";""04"";""0817700"";4;67;2645;204;1"
"2025;""03"";""96159000"";""10"";""160"";""SP"";""01"";""0717600"";5883;5883;10043;1909;0"
"2025;""01"";""40103100"";""10"";""249"";""PR"";""04"";""0817700"";0;0;70;0;0"
"2025;""10"";""29182922"";""10"";""361"";""SP"";""04"";""0817700"";3;3;335;22;0"
"2025;""05"";""84314922"";""10"";""275"";""SP"";""01"";""0817800"";5127;5127;13974;2458;7"
"2025;""08"";""69029040"";""10"";""767"";""SP"";""04"";""0817600"";76;76;93785;866;77"
"2025;""07"";""84131900"";""11"";""160"";""PR"";""01"";""0917800"";30;163;3950;106;0"
"2025;""03"";""85176296"";""11"";""827"";""SP"";""04"";""0817600"";2;0;362;1;0"
"2025;""10"";""84314929"";""10"";""827"";""RO"";""04"";""0817600"";0;0;42;0;0"
"2025;""07"";""85044090"";""11"";""791"";""PR"";""04"";""0917900"";2;1;933;24;1"
"2025;""12"";""84779000"";""10"";""383"";""SP"";""04"";""0817600"";2;2;795;18;0"
"2025;""10"";""87085099"";""10"";""160"";""PR"";""01"";""0927800"";17;17;672;1;1"
"2025;""02"";""84132000"";""11"";""573"";""SP"";""04"";""0817700"";4;10;327;43;0"
"2025;""01"";""85122011"";""11"";""160"";""AM"";""01"";""0717600"";360;302;17915;443;12"
"2025;""11"";""61143000"";""11"";""081"";""SP"";""04"";""0817600"";6689;1142;30637;3105;5"
"2025;""03"";""84212100"";""11"";""160"";""SP"";""04"";""0817700"";8369;223;11257;3894;5"
"2025;""06"";""73071920"";""10"";""247"";""SP"";""01"";""0817800"";0;0;207;0;0"
"2025;""02"";""85030010"";""10"";""169"";""SP"";""04"";""0817600"";238;238;10649;1693;14"
"2025;""06"";""84824000"";""11"";""160"";""RS"";""07"";""1010252"";1500;4;298;1;0"
"2025;""05"";""29021990"";""10"";""160"";""PR"";""01"";""0817800"";400;400;842;80;0"
"2025;""04"";""70071100"";""11"";""229"";""MG"";""01"";""0817800"";840;2295;18041;93;6"
"2025;""07"";""27101999"";""10"";""399"";""ES"";""01"";""0717600"";0;0;23;2;0"
"2025;""08"";""73202010"";""10"";""149"";""MG"";""01"";""0817800"";158;158;1991;374;0"
"2025;""08"";""85081100"";""11"";""160"";""SC"";""01"";""0817800"";22324;38152;175391;26265;131"
"2025;""12"";""90189097"";""11"";""249"";""DF"";""04"";""0817600"";539;828;725761;7642;1467"
"2025;""05"";""34039120"";""10"";""573"";""RS"";""01"";""1017700"";33300;33300;80761;535;364"
"2025;""06"";""82075011"";""10"";""160"";""PR"";""04"";""0917900"";123;123;14277;1008;37"
"2025;""06"";""84818029"";""11"";""741"";""RS"";""01"";""1017700"";15;2;1471;0;1"
"2025;""08"";""61071200"";""11"";""160"";""SP"";""01"";""0817800"";80786;6939;61952;2770;22"
"2025;""05"";""85414111"";""11"";""161"";""SP"";""04"";""0817700"";2500;0;274;7;0"
"2025;""06"";""85444200"";""10"";""628"";""SP"";""01"";""0817800"";2367;2367;994635;9273;4"
"2025;""05"";""90271000"";""11"";""149"";""SP"";""04"";""0817600"";27;10;2833;37;0"
"2025;""07"";""90154000"";""11"";""160"";""SP"";""04"";""0817700"";2;12;35915;865;0"
"2025;""08"";""90058000"";""11"";""160"";""RO"";""01"";""0817800"";121;444;10683;134;10"
"2025;""09"";""85049090"";""10"";""249"";""BA"";""04"";""0717700"";60;60;3937;299;0"
"2025;""01"";""84834090"";""11"";""249"";""RS"";""04"";""0817700"";9;1;10026;7;0"
"2025;""06"";""84819090"";""10"";""361"";""RS"";""01"";""1017700"";11999;11999;76619;5191;0"
"2025;""02"";""87116000"";""11"";""161"";""SC"";""01"";""0927700"";90;3003;144000;1916;260"
"2025;""07"";""84122110"";""11"";""023"";""RS"";""01"";""1017700"";1;2;176;5;0"
"2025;""05"";""49059000"";""10"";""160"";""SP"";""01"";""0927700"";436;436;444;31;0"
"2025;""02"";""91070010"";""11"";""160"";""PE"";""01"";""0417902"";350;28;1400;13;0"
"2025;""11"";""84483921"";""10"";""386"";""SC"";""04"";""0817600"";1;1;87;5;0"
"2025;""09"";""54024520"";""10"";""160"";""MG"";""01"";""0610600"";20345;20345;74673;5939;0"
"2025;""04"";""90152010"";""11"";""399"";""SP"";""04"";""0817600"";14;120;83060;1134;275"
"2025;""11"";""84818092"";""11"";""023"";""RJ"";""04"";""0717700"";56;33;12336;1507;2"
"2025;""05"";""90219080"";""10"";""160"";""RJ"";""01"";""0717600"";138;138;6625;252;2"
"2025;""12"";""84411090"";""11"";""249"";""SP"";""04"";""0817600"";2;1;30;2;0"
"2025;""04"";""84133010"";""11"";""399"";""MG"";""04"";""0617700"";1;1;9;3;0"
"2025;""10"";""69131000"";""10"";""160"";""SP"";""04"";""0817600"";71;71;2810;482;12"
"2025;""06"";""84842000"";""10"";""603"";""SC"";""04"";""0817700"";0;0;282;13;0"
"2025;""10"";""48192000"";""10"";""827"";""SC"";""04"";""0817600"";370;370;22;5667;0"
"2025;""11"";""95071000"";""11"";""160"";""PB"";""01"";""0817800"";8700;2185;2657;416;0"
"2025;""10"";""84713019"";""11"";""160"";""AM"";""04"";""0227700"";63;109;16859;1133;2"
"2025;""05"";""40170000"";""10"";""399"";""ES"";""01"";""0717600"";0;0;8;0;0"
"2025;""08"";""84811000"";""11"";""249"";""PA"";""01"";""0817800"";2;1;227;0;0"
"2025;""02"";""39235000"";""10"";""063"";""PE"";""07"";""1017500"";1086;1086;16306;275;0"
"2025;""08"";""39269090"";""10"";""386"";""SP"";""04"";""0817600"";4493;4493;260218;28296;210"
"2025;""10"";""84433990"";""11"";""249"";""SP"";""04"";""0817700"";6;2;284;140;0"
"2025;""07"";""85258919"";""11"";""399"";""RJ"";""04"";""0717700"";2;0;257;4;0"
"2025;""03"";""85442000"";""10"";""399"";""MG"";""04"";""0617700"";1;1;3346;30;1"
"2025;""06"";""82075019"";""10"";""023"";""SP"";""04"";""0817600"";80;80;22245;664;3"
"2025;""04"";""85442000"";""10"";""023"";""MG"";""01"";""0817800"";180;180;4405;75;0"
"2025;""06"";""85371011"";""10"";""827"";""SP"";""04"";""0817600"";0;0;588;74;0"
"2025;""11"";""40103100"";""10"";""160"";""SC"";""01"";""0927700"";628;628;2239;150;0"
"2025;""11"";""85364900"";""11"";""190"";""SC"";""01"";""0927700"";86;975;18551;293;5"
"2025;""08"";""95030010"";""10"";""160"";""AL"";""01"";""0817800"";84;84;364;59;1"
"2025;""06"";""85258919"";""11"";""161"";""SC"";""01"";""0927800"";1000;674;1987;83;8"
"2025;""05"";""82055900"";""10"";""249"";""MG"";""01"";""0717600"";295;295;8000;690;5"
"2025;""04"";""90303329"";""11"";""160"";""AM"";""01"";""0317902"";2;6237;8099;4416;6"
"2025;""03"";""90230000"";""10"";""249"";""SC"";""04"";""0927501"";1458;1458;225737;15623;388"
"2025;""02"";""85044021"";""11"";""399"";""SP"";""04"";""0817700"";1;2;273;45;0"
"2025;""06"";""85361000"";""11"";""386"";""SC"";""04"";""0817700"";1200;7;140;183;0"
"2025;""11"";""76169900"";""10"";""607"";""MG"";""01"";""0817800"";88;88;2032;40;1"
"2025;""03"";""90189069"";""11"";""023"";""SP"";""04"";""0817600"";100;40;2047;941;0"
"2025;""03"";""70191300"";""10"";""160"";""SP"";""01"";""0817800"";28;28;951;1;0"
"2025;""06"";""61034300"";""11"";""160"";""ES"";""01"";""0817800"";918;510;14396;139;1"
"2025;""09"";""40169990"";""10"";""249"";""RS"";""01"";""0717600"";157;157;3529;34;2"
"2025;""07"";""39076100"";""10"";""827"";""MG"";""01"";""0717600"";92000;92000;97426;3640;0"
"2025;""02"";""39269090"";""10"";""455"";""BA"";""04"";""0817700"";3;3;60;13;0"
"2025;""12"";""39191010"";""10"";""858"";""AM"";""04"";""0227700"";158;158;1271;3173;1"
"2025;""10"";""84828000"";""11"";""023"";""BA"";""04"";""0517801"";2;1;2015;4;4"
"2025;""02"";""84818094"";""11"";""246"";""SP"";""01"";""0817800"";36;158;826;5;1"
"2025;""08"";""90261019"";""11"";""628"";""ES"";""04"";""0817700"";1;5;1530;32;0"
"2025;""08"";""84483921"";""10"";""072"";""SP"";""04"";""0817700"";4;4;5523;95;22"
"2025;""01"";""73261900"";""10"";""160"";""AM"";""01"";""0717600"";48;48;908;71;1"
"2025;""08"";""29223990"";""10"";""767"";""SP"";""04"";""0817600"";0;0;405;1;0"
"2025;""10"";""29224990"";""10"";""767"";""SP"";""04"";""0817600"";6;6;493;298;0"
"2025;""11"";""84819010"";""10"";""160"";""CE"";""01"";""0717600"";524;524;8850;217;6"
"2025;""08"";""83021000"";""10"";""160"";""RJ"";""01"";""0927700"";2045;2045;14708;637;1"
"2025;""11"";""85366990"";""11"";""365"";""AM"";""01"";""0227600"";960;42;6499;40;3"
"2025;""12"";""73170010"";""10"";""249"";""RS"";""04"";""0817700"";5;5;629;248;6"
"2025;""11"";""85423939"";""11"";""267"";""ES"";""04"";""0817700"";215;0;571;2;0"
"2025;""12"";""84828000"";""11"";""776"";""RJ"";""04"";""0717700"";70;1;2936;60;2"
"2025;""04"";""84294000"";""11"";""160"";""ES"";""01"";""0717600"";2;30842;84760;11800;114"
"2025;""05"";""73202010"";""10"";""776"";""AM"";""04"";""0227700"";1411;1411;5830;13496;0"
"2025;""04"";""73182100"";""10"";""399"";""PR"";""01"";""0917800"";568;568;1921;93;1"
"2025;""11"";""39173240"";""10"";""267"";""SP"";""04"";""0817700"";21;21;4205;300;1"
"2025;""06"";""84311090"";""10"";""275"";""SP"";""01"";""0817800"";2;2;124;1;0"
"2025;""05"";""39221000"";""10"";""160"";""MG"";""01"";""0817800"";8740;8740;49735;3823;7"
"2025;""02"";""85332900"";""11"";""493"";""SP"";""04"";""0817700"";1;0;60;0;0"
"2025;""08"";""84139190"";""10"";""386"";""SC"";""01"";""1017700"";3;3;204;0;0"
"2025;""11"";""84137080"";""11"";""493"";""SP"";""04"";""0817700"";1;7;1168;9;1"
"2025;""01"";""84129080"";""10"";""232"";""RS"";""04"";""0817700"";0;0;757;40;0"
"2025;""01"";""73181900"";""10"";""245"";""BA"";""01"";""0517800"";986;986;25434;600;0"
"2025;""12"";""74153300"";""10"";""160"";""PR"";""01"";""0917800"";152;152;883;21;1"
"2025;""09"";""84199020"";""10"";""245"";""SC"";""04"";""0817700"";5;5;2229;140;1"
"2025;""08"";""61032300"";""11"";""160"";""AL"";""01"";""0817800"";7306;2220;16826;690;24"
"2025;""09"";""62052000"";""11"";""081"";""SC"";""04"";""0817600"";1486;437;8118;2882;3"
"2025;""01"";""90303990"";""11"";""361"";""SC"";""04"";""0927501"";2;2;2425;8;1"
"2025;""01"";""88072000"";""10"";""764"";""SP"";""04"";""0817600"";139;139;89184;2799;55"
"2025;""08"";""64039990"";""13"";""365"";""SP"";""01"";""0817800"";2317;788;45065;1343;28"
"2025;""04"";""90328990"";""11"";""249"";""SP"";""01"";""0817800"";1358;1002;605083;898;1087"
"2025;""03"";""39233090"";""10"";""160"";""TO"";""01"";""0927800"";30;30;43;8;0"
"2025;""05"";""84818092"";""11"";""386"";""SP"";""01"";""0717600"";1;4;23183;13;0"
"2025;""03"";""82041100"";""10"";""023"";""SC"";""01"";""0927700"";7;7;533;1;0"
"2025;""07"";""90272012"";""11"";""023"";""GO"";""04"";""0117600"";2;183;8421;879;0"
