CO_ANO;CO_MES;CO_NCM;CO_UNID;CO_PAIS;SG_UF_NCM;CO_VIA;CO_URF;QT_ESTAT;KG_LIQUIDO;VL_FOB
2025;05;90261029;11;586;SC;15;0917500;1;0;15
2025;03;73143100;10;845;SP;07;1010252;13871;13871;22961
2025;06;02064900;10;351;MG;01;0817800;11664;11664;6718
2025;12;33072010;10;521;SP;01;0817800;1236;1236;8124
2025;12;39100012;10;845;PR;07;1017701;48;48;374
2025;03;82032010;10;249;RS;04;0817700;0;0;31
2025;03;61083200;11;196;SC;04;0927501;8;2;84
2025;04;52084200;10;493;MG;04;0817700;19;19;326
2025;05;56031420;10;845;SC;07;1010252;4126;4126;11667
2025;10;71070000;10;476;RJ;01;0717600;6;6;448
2025;10;02071413;10;434;ES;01;0717800;40;40;55
