CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,nm_estado,id_country,id_urf,id_product
2025,2,21039091,10,434,PA,1,217800,35,35,310,Pará,LIBERIA,BELEM,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,12,42022220,11,317,RS,1,927502,12,6,210,Rio Grande do Sul,GUATEMALA,IMBITUBA,ARTIGOS_COUROS_PELES
2025,1,48041100,10,239,PR,1,927700,417690,417690,164787,Paraná,EQUADOR,SAO_FRANCISCO_DO_SUL,PAPEIS_EM_GERAL
2025,2,9109900,10,160,RJ,1,717800,5,5,17,Rio de Janeiro,CHINA,ITAGUAI,HF_LEGUMES_TEMPEROS
2025,8,4072100,20,293,RJ,1,710251,285,276,1067,Rio de Janeiro,GIBRALTAR,CAMPOS_DOS_GOYTACAZES,OVOS
2025,9,62052000,11,647,SC,1,927502,36,2,244,Santa Catarina,REPUBLICA_DOMINICANA,IMBITUBA,VESTUARIO
2025,6,48191000,10,249,RS,1,1017700,4939,4939,32485,Rio Grande do Sul,ESTADOS_UNIDOS,RIO_GRANDE,PAPEIS_EM_GERAL
2025,7,7049000,10,476,AL,1,417900,15,15,25,Alagoas,MARSHALL_ILHAS,RECIFE,HF_LEGUMES_TEMPEROS
2025,4,16010000,10,232,BA,1,517800,20,20,59,Bahia,DINAMARCA,SALVADOR,PREPARACOES_ALIMENTICIAS_CONSERVAS
2025,10,19021900,10,434,PR,1,927502,5,5,19,Paraná,LIBERIA,IMBITUBA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,6,7103000,10,575,PR,1,917800,30,30,90,Paraná,PALAU,PARANAGUA,HF_LEGUMES_TEMPEROS
2025,9,24039990,10,23,RS,1,1017700,1200,1200,14246,Rio Grande do Sul,ALEMANHA,RIO_GRANDE,TABACO
2025,5,12019000,21,372,MS,1,927700,6594,6594191,2771173,Mato Grosso do Sul,IRA,SAO_FRANCISCO_DO_SUL,SOJA
2025,7,61083100,11,239,SC,4,817600,181,61,1807,Santa Catarina,EQUADOR,SAO_PAULO,VESTUARIO
2025,12,4061090,10,580,PR,1,917800,4,4,34,Paraná,PANAMA,PARANAGUA,LACTEOS
2025,9,19052090,10,476,RJ,1,717600,1,1,12,Rio de Janeiro,MARSHALL_ILHAS,RIO_DE_JANEIRO,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,5,2071422,10,603,MS,4,817600,12,12,14,Mato Grosso do Sul,POLONIA,SAO_PAULO,CARNES
2025,3,21032090,10,434,SP,1,812051,48,48,93,São Paulo,LIBERIA,SAO_SEBASTIAO,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,4,8071100,10,580,RJ,1,717800,70,70,100,Rio de Janeiro,PANAMA,ITAGUAI,FRUTAS
2025,12,8081000,10,858,SC,1,917800,50,50,85,Santa Catarina,VIETNA,PARANAGUA,FRUTAS
2025,1,42021220,11,23,SP,4,817700,4,3,22,São Paulo,ALEMANHA,CAMPINAS,ARTIGOS_COUROS_PELES
2025,11,63023100,10,589,SP,4,817600,67,67,2494,São Paulo,PERU,SAO_PAULO,VESTUARIO
2025,8,52122300,10,63,SP,7,1017500,131,131,1625,São Paulo,ARGENTINA,URUGUAIANA,FIOS_FIBRAS_TECIDOS_EM_GERAL
2025,12,7069000,10,607,SP,1,817800,218,208,232,São Paulo,PORTUGAL,SANTOS,HF_LEGUMES_TEMPEROS
2025,5,2032900,10,331,SC,1,927700,42300,42300,78617,Santa Catarina,GUINE_EQUATORIAL,SAO_FRANCISCO_DO_SUL,CARNES
2025,3,3049900,10,476,ES,1,717800,8,8,130,Espírito Santo,MARSHALL_ILHAS,ITAGUAI,CARNES
2025,12,8044000,10,580,ES,1,727600,222,222,551,Espírito Santo,PANAMA,VITORIA,FRUTAS
2025,12,2031900,10,476,RJ,1,717600,80,80,574,Rio de Janeiro,MARSHALL_ILHAS,RIO_DE_JANEIRO,CARNES
2025,11,2064900,10,160,SC,1,817800,27280,27280,97507,Santa Catarina,CHINA,SANTOS,CARNES
2025,6,4051000,10,351,RJ,1,717600,12,12,185,Rio de Janeiro,HONG_KONG,RIO_DE_JANEIRO,LACTEOS
2025,6,16042010,10,476,SC,1,1017800,3,3,40,Santa Catarina,MARSHALL_ILHAS,PORTO_ALEGRE,PREPARACOES_ALIMENTICIAS_CONSERVAS
2025,4,16025000,10,434,RS,1,917800,8,8,22,Rio Grande do Sul,LIBERIA,PARANAGUA,PREPARACOES_ALIMENTICIAS_CONSERVAS
2025,3,2071411,10,434,PR,1,917800,30,30,81,Paraná,LIBERIA,PARANAGUA,CARNES
2025,12,2064900,10,281,GO,1,927800,3330,3330,4486,Goiás,GABAO,ITAJAI,CARNES
2025,3,2071413,10,351,ES,1,727600,138,138,469,Espírito Santo,HONG_KONG,VITORIA,CARNES
2025,5,2023000,10,190,SP,1,817800,33,33,504,São Paulo,COREIA_DO_SUL,SANTOS,CARNES
2025,9,8072000,10,163,PA,1,217800,2,2,4,Pará,CHIPRE,BELEM,FRUTAS
2025,2,3046290,10,281,SP,1,817800,10,10,76,São Paulo,GABAO,SANTOS,CARNES
2025,10,11081200,10,476,PR,1,917800,22,22,25,Paraná,MARSHALL_ILHAS,PARANAGUA,AMIDO
2025,9,18069000,10,741,CE,1,317900,7,7,119,Ceará,SINGAPURA,FORTALEZA,EXTRATOS_MOLHOS_SUCOS_PREPARACOES_CONSERVAS_MASSAS_BOLACHAS_PAES_DOCES_GELEIAS_POS
2025,7,22030000,17,301,RJ,1,710251,223,624,711,Rio de Janeiro,GRECIA,CAMPOS_DOS_GOYTACAZES,BEBIDAS_ALCOOLICAS
2025,2,11022000,10,628,MG,1,817800,1200,1200,2180,Minas Gerais,REINO_UNIDO,SANTOS,FARINHAS
2025,5,7136090,10,580,PA,1,217800,35,35,83,Pará,PANAMA,BELEM,HF_LEGUMES_TEMPEROS
2025,2,4061090,10,776,SP,1,717800,6,6,92,São Paulo,TAILANDIA,ITAGUAI,LACTEOS
